PRN             t(GNSS TIME)/s                 X/m                 Y/m                 Z/m               toe/s
G01             47400.00000000   -2991158.94653566   16386665.14168394  -20811697.75804996       2984.00000000
G01             47700.00000000   -3714025.40960711   16663638.86620764  -20459795.74493511       2684.00000000
G01             48000.00000000   -4419340.81213464   16948247.14126453  -20069109.01168064       2384.00000000
G01             48300.00000000   -5105789.14546895   17239253.41275682  -19640335.06358727       2084.00000000
G01             48600.00000000   -5772133.57514973   17535354.31934350  -19174244.72408812       1784.00000000
G01             48900.00000000   -6417221.07766376   17835185.11092288  -18671681.04307053       1484.00000000
G01             49200.00000000   -7039986.74041790   18137325.36710751  -18133558.06277236       1184.00000000
G01             49500.00000000   -7639457.70498268   18440304.99364988  -17560859.44067095        884.00000000
G01             49800.00000000   -8214756.73492221   18742610.47335070  -16954636.92907861        584.00000000
G01             50100.00000000   -8765105.39088738   19042691.34662399  -16316008.71147817        284.00000000
G01             50400.00000000   -9289826.79711174   19338966.89561467  -15646157.59597568         16.00000000
G01             50700.00000000   -9788347.98500817   19629833.00457229  -14946329.06661269        316.00000000
G01             51000.00000000  -10260201.80121722   19913669.16808823  -14217829.19366850        616.00000000
G01             51300.00000000  -10705028.36919855   20188845.61781102  -13462022.40449150        916.00000000
G01             51600.00000000  -11122576.09528131   20453730.53737405  -12680329.11682604       1216.00000000
G01             51900.00000000  -11512702.21199111   20706697.33451010  -11874223.23704707       1516.00000000
G01             52200.00000000  -11875372.85344236   20946131.93869501  -11045229.52617622       1816.00000000
G01             52500.00000000  -12210662.65961979   21170440.09216709  -10194920.83702741       2116.00000000
G01             52800.00000000  -12518753.90846116   21378054.60181444   -9324915.22631644       2416.00000000
G01             53100.00000000  -12799935.17678649   21567442.51921820   -8436872.94606323       2716.00000000
G01             53400.00000000  -13054599.53328782   21737112.21608930   -7532493.31911584       3016.00000000
G01             53700.00000000  -13283242.26898574   21885620.32244542   -6613511.50412749       3316.00000000
G01             54000.00000000  -13486458.42780103   22011578.38451857   -5681694.82675041       3600.00000000
G01             54300.00000000  -13664938.69614779   22113659.90163213   -4738840.58836327       3300.00000000
G01             54600.00000000  -13819467.07678182   22190605.91280434   -3786770.77992938       3000.00000000
G01             54900.00000000  -13950916.11289922   22241231.59425974   -2827329.56091546       2700.00000000
G01             55200.00000000  -14060242.62826261   22264431.89842637   -1862379.31483408       2400.00000000
G01             55500.00000000  -14148482.91894818   22259187.00988018    -893796.89043937       2100.00000000
G01             55800.00000000  -14216747.58132873   22224567.45252867      76530.21674735       1800.00000000
G01             56100.00000000  -14266215.99865591   22159738.82227504    1046707.73355864       1500.00000000
G01             56400.00000000  -14298130.51045797   22063966.12100606    2014838.51956020       1200.00000000
G01             56700.00000000  -14313790.29071598   21936617.66949926    2979026.50896831        900.00000000
G01             57000.00000000  -14314544.96241292   21777168.57874027    3937380.67409043        600.00000000
G01             57300.00000000  -14301787.97755204   21585203.76117027    4888019.00001879        300.00000000
G01             57600.00000000  -14276949.79310295   21360420.46553522    5829072.46009419          0.00000000
G01             57900.00000000  -14241490.87454445   21102630.32127338    6758688.98148938        300.00000000
G01             58200.00000000  -14196894.55972299   20811760.88074083    7675037.39014100        600.00000000
G01             58500.00000000  -14144659.81662550   20487856.65002474    8576311.32418748        900.00000000
G01             58800.00000000  -14086293.92936734   20131079.60161477    9460733.10504860       1200.00000000
G01             59100.00000000  -14023305.14721466   19741709.16478122   10326557.55531317       1500.00000000
G01             59400.00000000  -13957195.33178830   19320141.69212578   11172075.75268220       1800.00000000
G01             59700.00000000  -13889452.63773253   18866889.40341375   11995618.70934969       2100.00000000
G01             60000.00000000  -13821544.26207072   18382578.81044560   12795560.96638812       2400.00000000
G01             60300.00000000  -13754909.29721320   17867948.62936638   13570324.09294245       2700.00000000
G01             60600.00000000  -13690951.72212892   17323847.18942524   14318380.08032267       3000.00000000
G01             60900.00000000  -13631033.56554488   16751229.34976775   15038254.62141904       3300.00000000
G01             61200.00000000  -13576468.27419859   16151152.93835447   15728530.26624505       3600.00000000
G01             61500.00000000  -13528514.31241907   15524774.88514825   16387849.32159843       3300.00000000
G01             61800.00000000  -13488369.04987235   14873346.08132007   17014917.22296948       3000.00000000
G01             62100.00000000  -13457162.92236671   14198207.58067558   17608504.53808238       2700.00000000
G01             62400.00000000  -13435953.92688425   13500784.54752140   18167450.02710803       2400.00000000
G01             62700.00000000  -13425722.47003649   12782580.79988439   18690662.93752218       2100.00000000
G01             63000.00000000  -13427366.59066400   12045172.80620256   19177125.24979491       1800.00000000
G01             63300.00000000  -13441697.58054056   11290203.36483050   19625893.74877105       1500.00000000
G01             63600.00000000  -13469436.02350257   10519374.99659419   20036101.91589511       1200.00000000
G01             63900.00000000  -13511208.27114436    9734443.08196951   20406961.63808642        900.00000000
G01             64200.00000000  -13567543.37095206    8937208.77561635   20737764.72973318        600.00000000
G01             64500.00000000  -13638870.46040814    8129511.73197187   21027884.26494289        300.00000000
G01             64800.00000000  -13725516.63820024    7313222.67638674   21276775.71785807          0.00000000
G01             65100.00000000  -13827705.32122725    6490235.85687529   21483977.90951506        300.00000000
G01             65400.00000000  -13945555.09362794    5662461.41194399   21649113.76038671        600.00000000
G01             65700.00000000  -14079079.05157820    4831817.69016095   21771890.84840305        900.00000000
G01             66000.00000000  -14228184.64512759    4000223.55713593   21852101.77288394       1200.00000000
G01             66300.00000000  -14392674.01588832    3169590.72539720   21889624.32544031       1500.00000000
G01             66600.00000000  -14572244.82696533    2341816.14228355   21884421.46950361       1800.00000000
G01             66900.00000000  -14766491.57913785    1518774.47042149   21836541.13072298       2100.00000000
G01             67200.00000000  -14974907.40498401     702310.69463650   21746115.80102373       2400.00000000
G01             67500.00000000  -15196886.33039303    -105767.11174009   21613361.95964751       2700.00000000
G01             67800.00000000  -15431725.99074613    -903694.82925170   21438579.31499057       3000.00000000
G01             68100.00000000  -15678630.78697717   -1689759.11266048   21222149.87152132       3300.00000000
G01             68400.00000000  -15936715.46475879   -2462303.95986228   20964536.82649032       3600.00000000
G01             68700.00000000  -16205009.08170718   -3219737.28477683   20666283.20526169       3300.00000000
G01             69000.00000000  -16482459.47024977   -3960535.82095355   20328010.80113799       3000.00000000
G01             69300.00000000  -16767937.78356158   -4683252.30018242   19950418.06955597       2700.00000000
G01             69600.00000000  -17060243.71165088   -5386519.80681614   19534278.72991460       2400.00000000
G01             69900.00000000  -17358110.82251213   -6069056.92152335   19080439.81581681       2100.00000000
G01             70200.00000000  -17660212.23323184   -6729672.25367266   18589819.66923005       1800.00000000
